year,month,Brand,monthly_sales
2019,Sep,Mitsubishi,103
2019,Sep,Nissan,691
2019,Sep,Opel,374
2019,Sep,Peugeot,1462
2019,Sep,Porsche,82
2019,Sep,Renault,1909
2019,Sep,Seat,823
2019,Sep,Skoda,162
2019,Sep,Smart,245
2019,Sep,Suzuki,41
2019,Sep,Tesla,293
2019,Sep,Toyota,678
2019,Sep,Volkswagen,756
2019,Sep,Volvo,400
2019,Oct,Alfa Romeo,7
2019,Oct,Alpine,3
2019,Oct,Aston Martin,0
2019,Oct,Audi,292
2019,Oct,Bentley,1
2019,Oct,BMW,1233
2019,Oct,Citroën,862
2019,Oct,Cupra,0
2019,Oct,Dacia,478
2019,Oct,DS,71
2019,Oct,Ferrari,2
2019,Oct,Fiat,707
2019,Oct,Ford,692
2019,Oct,Honda,101
2019,Oct,Hyundai,477
2019,Oct,Iveco,2
2019,Oct,Jaguar,66
2019,Oct,Jeep,133
2019,Oct,Kia,470
2019,Oct,Lamborghini,1
2019,Oct,Land Rover,35
2019,Oct,Lexus,59
2019,Oct,Man,1
2019,Oct,Maserati,1
2019,Oct,Mazda,190
2019,Oct,Mercedes-Benz,1421
2019,Oct,MINI,201
2019,Oct,Mitsubishi,142
2019,Oct,Nissan,658
2019,Oct,Opel,578
2019,Oct,Peugeot,1833
2019,Oct,Porsche,115
2019,Oct,Renault,1625
2019,Oct,Seat,819
2019,Oct,Skoda,103
2019,Oct,Smart,248
2019,Oct,Suzuki,28
2019,Oct,Tesla,7
2019,Oct,Toyota,739
2019,Oct,Volkswagen,820
2019,Oct,Volvo,428
2019,Nov,Alfa Romeo,21
2019,Nov,Alpine,0
2019,Nov,Aston Martin,0
2019,Nov,Audi,272
2019,Nov,Bentley,0
2019,Nov,BMW,1318
2019,Nov,Citroën,807
2019,Nov,Cupra,0
2019,Nov,Dacia,571
2019,Nov,DS,59
2019,Nov,Ferrari,3
2019,Nov,Fiat,1058
2019,Nov,Ford,576
2019,Nov,Honda,60
2019,Nov,Hyundai,561
2019,Nov,Iveco,0
2019,Nov,Jaguar,64
2019,Nov,Jeep,274
2019,Nov,Kia,333
2019,Nov,Lamborghini,0
2019,Nov,Land Rover,32
2019,Nov,Lexus,39
2019,Nov,Man,0
2019,Nov,Maserati,0
2019,Nov,Mazda,196
2019,Nov,Mercedes-Benz,1305
2019,Nov,MINI,169
2019,Nov,Mitsubishi,110
2019,Nov,Nissan,575
2019,Nov,Opel,515
2019,Nov,Peugeot,1920
2019,Nov,Porsche,90
2019,Nov,Renault,2046
2019,Nov,Seat,861
2019,Nov,Skoda,163
2019,Nov,Smart,300
2019,Nov,Suzuki,25
2019,Nov,Tesla,56
2019,Nov,Toyota,772
2019,Nov,Volkswagen,735
2019,Nov,Volvo,514
2019,Dec,Alfa Romeo,16
2019,Dec,Alpine,0
2019,Dec,Aston Martin,0
2019,Dec,Audi,270
2019,Dec,Bentley,1
2019,Dec,BMW,1283
2019,Dec,Citroën,793
2019,Dec,Cupra,0
2019,Dec,Dacia,685
2019,Dec,DS,25
2019,Dec,Ferrari,0
2019,Dec,Fiat,1572
2019,Dec,Ford,684
2019,Dec,Honda,79
2019,Dec,Hyundai,379
2019,Dec,Iveco,2
2019,Dec,Jaguar,56
2019,Dec,Jeep,151
2019,Dec,Kia,399
2019,Dec,Lamborghini,0
2019,Dec,Land Rover,33
2019,Dec,Lexus,21
2019,Dec,Man,0
2019,Dec,Maserati,0
2019,Dec,Mazda,665
2019,Dec,Mercedes-Benz,1142
2019,Dec,MINI,168
2019,Dec,Mitsubishi,86
2019,Dec,Nissan,1038
2019,Dec,Opel,409
2019,Dec,Peugeot,1610
2019,Dec,Porsche,40
2019,Dec,Renault,2171
2019,Dec,Seat,928
2019,Dec,Skoda,74
2019,Dec,Smart,1019
2019,Dec,Suzuki,53
2019,Dec,Tesla,302
2019,Dec,Toyota,651
2019,Dec,Volkswagen,536
2019,Dec,Volvo,385
2020,Jan,Alfa Romeo,18
2020,Jan,Alpine,3
2020,Jan,Aston Martin,0
2020,Jan,Audi,314
2020,Jan,Bentley,2
2020,Jan,BMW,1073
2020,Jan,Citroën,887
2020,Jan,Cupra,0
2020,Jan,Dacia,445
2020,Jan,DS,59
2020,Jan,Ferrari,4
2020,Jan,Fiat,526
2020,Jan,Ford,561
2020,Jan,Honda,139
2020,Jan,Hyundai,533
2020,Jan,Iveco,0
2020,Jan,Jaguar,63
2020,Jan,Jeep,53
2020,Jan,Kia,360
2020,Jan,Lamborghini,3
2020,Jan,Land Rover,63
2020,Jan,Lexus,43
2020,Jan,Man,0
2020,Jan,Maserati,0
2020,Jan,Mazda,132
2020,Jan,Mercedes-Benz,1461
2020,Jan,MINI,204
2020,Jan,Mitsubishi,193
2020,Jan,Nissan,882
2020,Jan,Opel,630
2020,Jan,Peugeot,1605
2020,Jan,Porsche,0
2020,Jan,Renault,1330
2020,Jan,Seat,824
2020,Jan,Skoda,121
2020,Jan,Smart,51
2020,Jan,Suzuki,12
2020,Jan,Tesla,33
2020,Jan,Toyota,641
2020,Jan,Volkswagen,706
2020,Jan,Volvo,354
2020,Feb,Alfa Romeo,10
2020,Feb,Alpine,0
2020,Feb,Aston Martin,0
2020,Feb,Audi,250
2020,Feb,Bentley,4
2020,Feb,BMW,1289
2020,Feb,Citroën,1563
2020,Feb,Cupra,0
2020,Feb,Dacia,447
2020,Feb,DS,84
2020,Feb,Ferrari,0
2020,Feb,Fiat,963
2020,Feb,Ford,838
2020,Feb,Honda,119
2020,Feb,Hyundai,543
2020,Feb,Iveco,0
2020,Feb,Jaguar,55
2020,Feb,Jeep,77
2020,Feb,Kia,368
2020,Feb,Lamborghini,6
2020,Feb,Land Rover,44
2020,Feb,Lexus,54
2020,Feb,Man,1
2020,Feb,Maserati,0
2020,Feb,Mazda,94
2020,Feb,Mercedes-Benz,1555
2020,Feb,MINI,214
2020,Feb,Mitsubishi,484
2020,Feb,Nissan,1488
2020,Feb,Opel,1182
2020,Feb,Peugeot,2423
2020,Feb,Porsche,67
2020,Feb,Renault,2805
2020,Feb,Seat,966
2020,Feb,Skoda,124
2020,Feb,Smart,73
2020,Feb,Suzuki,14
2020,Feb,Tesla,74
2020,Feb,Toyota,792
2020,Feb,Volkswagen,848
2020,Feb,Volvo,345
2020,Mar,Alfa Romeo,7
2020,Mar,Alpine,0
2020,Mar,Aston Martin,0
2020,Mar,Audi,129
2020,Mar,Bentley,3
2020,Mar,BMW,857
2020,Mar,Citroën,448
2020,Mar,Cupra,0
2020,Mar,Dacia,341
2020,Mar,DS,38
2020,Mar,Ferrari,0
2020,Mar,Fiat,232
2020,Mar,Ford,607
2020,Mar,Honda,41
2020,Mar,Hyundai,262
2020,Mar,Iveco,0
2020,Mar,Jaguar,30
2020,Mar,Jeep,43
2020,Mar,Kia,278
2020,Mar,Lamborghini,1
2020,Mar,Land Rover,42
2020,Mar,Lexus,17
2020,Mar,Man,2
2020,Mar,Maserati,0
2020,Mar,Mazda,68
2020,Mar,Mercedes-Benz,1192
2020,Mar,MINI,151
2020,Mar,Mitsubishi,141
2020,Mar,Nissan,462
2020,Mar,Opel,310
2020,Mar,Peugeot,856
2020,Mar,Porsche,45
2020,Mar,Renault,1266
2020,Mar,Seat,686
2020,Mar,Skoda,112
2020,Mar,Smart,22
2020,Mar,Suzuki,14
2020,Mar,Tesla,544
2020,Mar,Toyota,654
2020,Mar,Volkswagen,484
2020,Mar,Volvo,211
2020,Apr,Alfa Romeo,5
2020,Apr,Alpine,0
2020,Apr,Aston Martin,0
2020,Apr,Audi,59
2020,Apr,Bentley,0
2020,Apr,BMW,264
2020,Apr,Citroën,72
2020,Apr,Cupra,0
2020,Apr,Dacia,175
2020,Apr,DS,12
2020,Apr,Ferrari,0
2020,Apr,Fiat,100
2020,Apr,Ford,108
2020,Apr,Honda,20
2020,Apr,Hyundai,136
2020,Apr,Iveco,0
2020,Apr,Jaguar,6
2020,Apr,Jeep,13
2020,Apr,Kia,56
2020,Apr,Lamborghini,0
2020,Apr,Land Rover,22
2020,Apr,Lexus,9
2020,Apr,Man,0
2020,Apr,Maserati,0
2020,Apr,Mazda,16
2020,Apr,Mercedes-Benz,311
2020,Apr,MINI,49
2020,Apr,Mitsubishi,18
2020,Apr,Nissan,162
2020,Apr,Opel,51
2020,Apr,Peugeot,332
2020,Apr,Porsche,25
2020,Apr,Renault,237
2020,Apr,Seat,102
2020,Apr,Skoda,33
2020,Apr,Smart,30
2020,Apr,Suzuki,2
2020,Apr,Tesla,10
2020,Apr,Toyota,105
2020,Apr,Volkswagen,109
2020,Apr,Volvo,100
2020,May,Alfa Romeo,5
2020,May,Alpine,0
2020,May,Aston Martin,0
2020,May,Audi,124
2020,May,Bentley,0
2020,May,BMW,563
2020,May,Citroën,318
2020,May,Cupra,0
2020,May,Dacia,268
2020,May,DS,16
2020,May,Ferrari,1
2020,May,Fiat,155
2020,May,Ford,193
2020,May,Honda,47
2020,May,Hyundai,303
2020,May,Iveco,7
2020,May,Jaguar,23
2020,May,Jeep,22
2020,May,Kia,138
2020,May,Lamborghini,0
2020,May,Land Rover,20
2020,May,Lexus,14
2020,May,Man,1
2020,May,Maserati,0
2020,May,Mazda,43
2020,May,Mercedes-Benz,756
2020,May,MINI,87
2020,May,Mitsubishi,39
2020,May,Nissan,222
2020,May,Opel,133
2020,May,Peugeot,576
2020,May,Porsche,47
2020,May,Renault,601
