year,university,rank
2019,University of Stirling,44
2019,University of Surrey,37
2019,Heriot-Watt University,39
2019,Loughborough University,47
2019,University of Kent,43
2019,St George's University of London,36
2020,University of Oxford,1
2020,University of Cambridge,2
2020,Imperial College London,3
2020,University College London,4
2020,University of Edinburgh,6
2020,London School of Economics and Political Science,5
2020,University of Manchester,8
2020,King's College London,7
2020,University of Bristol,10
2020,Durham University,17
2020,University of St Andrews,28
2020,University of Sussex,20
2020,University of Sheffield,14
2020,University of Glasgow,11
2020,"Royal Holloway, University of London",37
2020,University of York,16
2020,Queen Mary University of London,12
2020,University of Southampton,15
2020,Lancaster University,18
2020,University of Leeds,22
2020,University of Nottingham,21
2020,University of East Anglia UEA,26
2020,Newcastle University,30
2020,University of Birmingham,13
2020,University of Aberdeen,25
2020,University of Exeter,19
2020,University of Warwick,9
2020,University of Reading,32
2020,University of Dundee,29
2020,University of Liverpool,23
2020,University of Leicester,24
2020,Cardiff University,27
2020,University of Essex,35
2020,Bangor University,48
2020,Brunel University London,41
2020,Queen's University Belfast,31
2020,University of Bath,34
2020,Aberystwyth University,47
2020,University of Stirling,46
2020,University of Surrey,38
2020,Heriot-Watt University,36
2020,Loughborough University,44
2020,University of Kent,43
2020,St George's University of London,33
2021,University of Oxford,1
2021,University of Cambridge,2
2021,Imperial College London,3
2021,University College London,4
2021,University of Edinburgh,6
2021,London School of Economics and Political Science,5
2021,University of Manchester,8
2021,King's College London,7
2021,University of Bristol,10
2021,Durham University,18
2021,University of St Andrews,34
2021,University of Sussex,21
2021,University of Sheffield,14
2021,University of Glasgow,11
2021,"Royal Holloway, University of London",40
2021,University of York,16
2021,Queen Mary University of London,13
2021,University of Southampton,15
2021,Lancaster University,17
2021,University of Leeds,20
2021,University of Nottingham,19
2021,University of East Anglia UEA,28
2021,Newcastle University,26
2021,University of Birmingham,12
2021,University of Aberdeen,25
2021,University of Exeter,24
2021,University of Warwick,9
2021,University of Reading,32
2021,University of Dundee,31
2021,University of Liverpool,22
2021,University of Leicester,23
2021,Cardiff University,27
2021,University of Essex,38
2021,Bangor University,49
2021,Brunel University London,42
2021,Queen's University Belfast,29
2021,University of Bath,30
2021,Aberystwyth University,47
2021,University of Stirling,41
2021,University of Surrey,35
2021,Heriot-Watt University,44
2021,Loughborough University,45
2021,University of Kent,39
2021,St George's University of London,33
2022,University of Oxford,1
2022,University of Cambridge,2
2022,Imperial College London,3
2022,University College London,4
2022,University of Edinburgh,6
2022,London School of Economics and Political Science,5
2022,University of Manchester,8
2022,King's College London,7
2022,University of Bristol,11
2022,Durham University,23
2022,University of St Andrews,34
2022,University of Sussex,21
2022,University of Sheffield,13
2022,University of Glasgow,10
2022,"Royal Holloway, University of London",45
2022,University of York,24
2022,Queen Mary University of London,14
2022,University of Southampton,16
2022,Lancaster University,15
2022,University of Leeds,17
2022,University of Nottingham,18
2022,University of East Anglia UEA,26
2022,Newcastle University,20
2022,University of Birmingham,12
2022,University of Aberdeen,22
2022,University of Exeter,19
2022,University of Warwick,9
2022,University of Reading,32
2022,University of Dundee,30
2022,University of Liverpool,25
2022,University of Leicester,27
2022,Cardiff University,28
2022,University of Essex,38
2022,Bangor University,47
2022,Brunel University London,41
2022,Queen's University Belfast,31
2022,University of Bath,29
2022,Aberystwyth University,55
2022,University of Stirling,39
2022,University of Surrey,35
2022,Heriot-Watt University,58
2022,Loughborough University,44
2022,University of Kent,43
2022,St George's University of London,33
